accuracy,loss,val_accuracy,val_loss,learning_rate
0.5,1.0560429096221924,0.28358209133148193,1.594849944114685,0.0010000000474974513
0.6666666865348816,0.6661450862884521,0.8805969953536987,0.2191583514213562,0.0010000000474974513
0.8611111044883728,0.3081343173980713,0.7164179086685181,0.6256996393203735,0.0010000000474974513
0.8333333134651184,0.3847289979457855,0.8507462739944458,0.33913928270339966,0.0010000000474974513
0.9722222089767456,0.12216652929782867,0.9402984976768494,0.15903843939304352,0.0010000000474974513
0.875,0.2850245535373688,0.9552238583564758,0.11520838737487793,0.0010000000474974513
0.9722222089767456,0.10862729698419571,0.8656716346740723,0.2711330056190491,0.0010000000474974513
0.9722222089767456,0.10070741921663284,0.9104477763175964,0.25375163555145264,0.0010000000474974513
0.9722222089767456,0.07134083658456802,0.9552238583564758,0.125464528799057,0.0010000000474974513
0.9861111044883728,0.047857675701379776,0.9552238583564758,0.09734608232975006,0.0010000000474974513
1.0,0.0514698326587677,0.9552238583564758,0.10081233829259872,0.0010000000474974513
1.0,0.03481293097138405,0.9552238583564758,0.12984223663806915,0.0010000000474974513
0.9861111044883728,0.02986687794327736,0.9552238583564758,0.17087499797344208,0.0010000000474974513
0.9861111044883728,0.029653038829565048,0.9552238583564758,0.19522053003311157,0.0010000000474974513
0.9861111044883728,0.026175234466791153,0.9552238583564758,0.1446179449558258,0.0010000000474974513
1.0,0.01577344909310341,0.9552238583564758,0.11538474261760712,0.0010000000474974513
1.0,0.014165503904223442,0.9552238583564758,0.10667537897825241,0.0010000000474974513
1.0,0.013775358907878399,0.9552238583564758,0.10717953741550446,0.00020000000949949026
1.0,0.013142917305231094,0.9552238583564758,0.11052256077528,0.00020000000949949026
1.0,0.012258179485797882,0.9552238583564758,0.11657905578613281,0.00020000000949949026
1.0,0.011468152515590191,0.9552238583564758,0.12481320649385452,0.00020000000949949026
1.0,0.010913670994341373,0.9552238583564758,0.133314311504364,0.00020000000949949026
1.0,0.010532837361097336,0.9552238583564758,0.14008496701717377,0.00020000000949949026
1.0,0.010468943044543266,0.9552238583564758,0.14328090846538544,0.00020000000949949026
1.0,0.010410865768790245,0.9552238583564758,0.14378172159194946,4.0000002627493814e-05
